,height,weight,max_grade,years_climbing,age,sex
418,166,63,64,21,37.0,0
419,0,0,64,2017,,0
420,0,0,44,2017,,1
421,0,0,55,2017,,0
422,0,0,51,2017,,0
423,0,0,59,2017,,0
424,151,48,49,19,32.0,1
425,0,0,55,17,,0
426,0,0,55,2017,,0
427,192,73,38,30,72.0,0
428,178,63,51,16,35.0,0
429,181,73,57,16,37.0,0
430,101,100,57,17,45.0,0
431,0,63,64,25,45.0,0
432,158,0,49,17,39.0,0
433,0,0,57,25,,0
434,0,0,55,2017,,0
435,190,68,51,20,48.0,0
436,170,0,51,19,38.0,1
437,167,78,64,29,46.0,0
438,0,0,51,24,,0
439,0,0,59,17,,0
440,0,0,29,2017,,0
441,0,0,57,2017,,0
442,181,73,59,30,45.0,0
443,182,83,53,19,35.0,0
444,0,0,33,2017,,0
445,185,73,55,27,48.0,0
446,0,0,62,2017,,0
447,183,0,57,26,47.0,0
448,197,83,51,30,,0
449,172,73,53,17,37.0,0
450,172,73,49,23,44.0,0
451,193,73,38,22,40.0,0
452,71,78,51,18,33.0,0
453,0,0,57,17,,0
454,0,0,57,26,33.0,0
455,0,0,49,2017,,0
456,185,73,55,17,37.0,0
457,0,0,64,18,,0
458,170,68,57,24,44.0,0
459,176,73,40,19,41.0,0
460,0,73,59,22,41.0,0
461,184,68,62,30,49.0,0
462,0,63,53,17,33.0,0
463,170,58,57,19,40.0,0
464,0,0,66,17,33.0,0
465,155,0,31,18,,1
466,0,0,64,17,,0
467,186,0,55,17,,0
468,184,73,51,2017,,0
469,174,58,49,16,30.0,0
470,171,63,62,17,43.0,0
471,0,0,40,2017,,0
472,0,0,44,2017,,0
473,186,83,40,15,38.0,0
474,171,68,66,18,33.0,0
475,0,63,57,16,31.0,0
476,195,78,49,18,37.0,0
477,166,53,64,2017,35.0,0
478,179,0,59,29,50.0,0
479,178,68,51,26,47.0,0
480,0,0,62,17,,0
481,182,73,40,17,,0
482,72,73,59,27,39.0,0
483,172,58,59,28,46.0,0
484,168,58,64,23,34.0,0
485,0,0,57,2017,49.0,1
486,0,0,62,17,,1
487,175,58,36,16,33.0,0
488,0,0,36,2017,,0
489,0,0,55,20,,0
490,198,88,31,32,46.0,0
491,171,58,55,19,44.0,0
492,0,0,53,17,,0
493,159,48,68,21,36.0,0
494,179,88,57,23,47.0,0
495,0,0,57,17,41.0,0
496,0,0,51,2017,,0
497,0,0,49,16,,0
498,175,63,55,23,40.0,0
499,169,63,51,17,37.0,0
500,0,53,53,16,,0
501,0,0,36,2017,,0
502,182,78,59,31,47.0,0
503,186,73,57,21,33.0,0
504,0,73,59,20,35.0,0
505,0,0,55,2017,,0
506,0,0,53,17,,0
507,0,0,57,17,,0
508,174,78,49,27,47.0,0
