,height,weight,max_grade,years_climbing,age,sex
94,177.0,57.0,57.0,17.0,33.0,0.0
95,165.0,43.0,53.0,19.0,41.0,0.0
96,183.33333333333334,74.66666666666667,64.0,20.0,39.0,0.0
97,183.0,100.0,57.0,17.0,74.0,0.0
98,171.66666666666666,60.333333333333336,59.0,43.0,57.0,0.0
99,183.66666666666666,73.0,55.0,17.0,38.666666666666664,0.0
100,173.0,63.0,57.0,24.0,44.0,0.0
101,177.0,73.0,57.0,21.0,34.0,0.0
102,179.0,73.0,57.0,21.0,37.0,0.0
103,165.0,58.0,64.0,27.0,41.0,0.0
104,173.0,68.0,49.0,17.0,33.0,0.0
105,180.33333333333334,73.0,57.0,24.0,39.0,0.0
106,177.0,73.0,57.0,21.0,38.0,0.0
107,167.0,73.0,57.0,20.0,34.0,0.0
108,170.0,68.0,21.0,26.0,47.0,0.0
109,183.66666666666666,73.0,44.0,24.0,31.666666666666668,0.0
110,185.0,83.0,62.0,21.0,42.0,0.0
111,182.0,78.0,62.0,23.0,39.0,0.0
112,183.0,78.0,55.0,20.0,40.0,0.0
113,163.66666666666666,65.33333333333333,49.0,19.0,38.0,1.0
114,179.0,82.0,66.0,24.0,39.0,0.0
115,135.0,68.0,57.0,28.0,46.0,0.0
116,178.0,63.0,59.0,19.0,35.0,0.0
117,170.0,68.0,51.0,19.0,39.0,0.0
118,174.0,63.0,44.0,21.0,43.0,0.0
119,178.0,63.0,44.0,22.0,38.0,0.0
120,164.0,58.0,49.0,20.0,35.0,1.0
121,182.0,73.0,49.0,17.0,35.0,0.0
122,172.0,63.0,62.0,16.0,32.0,0.0
123,180.0,73.0,44.0,28.0,49.0,0.0
124,185.0,88.0,49.0,40.0,56.0,0.0
125,181.0,78.0,59.0,27.0,44.0,0.0
126,180.0,63.0,57.0,25.0,41.0,0.0
127,175.0,68.0,62.0,18.0,32.0,0.0
128,174.0,63.0,64.0,20.0,39.0,0.0
129,185.0,78.0,66.0,24.0,44.0,0.0
130,178.0,68.0,68.0,21.0,31.0,0.0
131,179.0,83.0,64.0,33.0,45.0,0.0
132,180.0,73.0,53.0,21.0,44.0,0.0
133,175.66666666666666,73.0,55.0,29.0,51.0,0.0
134,176.0,68.0,51.0,22.0,49.0,0.0
135,173.0,68.0,66.0,21.0,37.0,0.0
136,180.0,73.0,38.0,19.0,46.0,0.0
137,173.0,68.0,49.0,26.0,46.0,0.0
138,170.0,58.0,70.0,21.0,30.0,0.0
139,173.0,68.0,44.0,18.0,43.0,0.0
140,180.0,78.0,55.0,25.0,46.0,0.0
141,170.0,68.0,53.0,19.0,43.0,0.0
142,180.66666666666666,76.33333333333333,49.0,21.0,37.0,0.0
143,176.0,63.0,70.0,17.0,30.333333333333332,0.0
144,196.0,73.0,51.0,17.0,34.0,0.0
145,178.0,63.0,59.0,27.0,39.0,0.0
146,178.0,73.0,62.0,26.0,45.0,0.0
147,179.0,68.0,57.0,20.0,45.0,0.0
148,180.0,68.0,49.0,17.0,33.0,0.0
149,181.0,73.0,38.0,17.0,59.0,0.0
150,175.0,63.0,64.0,17.0,34.0,0.0
151,183.0,61.333333333333336,38.0,27.0,28.666666666666668,0.0
152,185.0,73.0,64.0,18.0,33.0,0.0
153,171.0,63.0,53.0,18.0,37.0,0.0
154,155.0,68.0,53.0,18.0,39.0,1.0
155,177.0,68.0,55.0,25.0,30.666666666666668,0.0
156,190.0,68.0,44.0,17.0,33.0,0.0
157,176.0,68.0,49.0,17.0,38.0,0.0
158,170.0,68.0,55.0,17.0,46.0,0.0
159,163.0,53.0,46.0,20.0,39.0,0.0
160,178.0,68.0,62.0,22.0,45.0,0.0
161,171.66666666666666,68.0,62.0,26.0,36.0,0.0
162,167.0,58.0,64.0,20.0,35.0,0.0
163,173.0,62.0,59.0,18.0,33.0,0.0
164,183.0,78.0,62.0,22.0,45.0,0.0
165,175.66666666666666,100.0,62.0,17.0,33.0,0.0
166,172.0,73.0,64.0,19.0,35.0,0.0
167,180.0,73.0,49.0,17.0,42.0,0.0
168,178.33333333333334,73.0,59.0,17.0,34.0,0.0
169,188.0,83.0,55.0,19.0,43.0,0.0
170,179.0,73.0,51.0,17.666666666666668,44.0,0.0
171,178.0,68.0,53.0,17.0,36.0,0.0
172,173.0,68.0,53.0,29.0,45.0,0.0
173,190.0,83.0,59.0,25.0,49.0,0.0
174,174.33333333333334,75.33333333333333,62.0,17.0,34.0,0.0
175,172.0,63.0,53.0,19.0,38.0,0.0
176,152.66666666666666,88.66666666666667,66.0,32.0,41.0,0.0
177,186.0,73.0,49.0,28.0,48.0,0.0
178,176.0,63.0,66.0,23.0,40.0,0.0
179,170.0,53.0,49.0,17.0,40.333333333333336,0.0
180,180.0,69.66666666666667,66.0,18.0,30.0,0.0
181,185.0,63.0,62.0,17.0,42.0,0.0
182,182.0,73.0,62.0,20.0,44.0,0.0
183,178.0,68.0,53.0,17.0,46.0,0.0
184,177.0,73.0,59.0,18.0,41.0,0.0
185,168.0,53.0,55.0,19.0,31.0,0.0
186,186.0,73.0,49.0,23.0,44.0,0.0
187,182.0,73.0,33.0,17.0,46.0,0.0
188,170.0,63.0,57.0,25.0,39.0,0.0
189,182.0,83.0,59.0,20.0,34.0,0.0
190,170.66666666666666,63.0,55.0,22.0,45.0,0.0
191,186.0,83.0,46.0,27.0,53.0,0.0
192,173.0,63.0,53.0,21.0,37.0,0.0
193,174.0,66.33333333333333,59.0,18.0,39.0,0.0
194,160.0,68.0,59.0,23.0,41.0,0.0
195,145.0,48.0,64.0,21.0,40.0,1.0
196,170.0,63.0,68.0,31.0,43.0,0.0
197,166.0,71.33333333333333,55.0,18.0,35.666666666666664,0.0
